x,y
0.0,0.0
-0.001961,0.0079244
-0.0014708,0.0118499
-0.0005521,0.0151092
0.0005988,0.018016
0.0019049,0.020691
0.0033262,0.0231957
0.0048388,0.0255663
0.0064269,0.0278262
0.0080795,0.0299915
0.0097885,0.0320739
0.0115477,0.0340821
0.0133521,0.0360226
0.015198,0.0379007
0.0170822,0.0397206
0.019002,0.0414856
0.0209552,0.0431985
0.0229399,0.0448616
0.0249544,0.0464767
0.0269972,0.0480455
0.0290671,0.0495692
0.0311629,0.0510492
0.0332835,0.0524862
0.0354281,0.0538812
0.0375958,0.0552348
0.0397857,0.0565477
0.0419971,0.0578203
0.0442293,0.0590532
0.0464816,0.0602465
0.0487534,0.0614008
0.0510441,0.0625162
0.0533531,0.0635929
0.0556799,0.0646311
0.0580238,0.0656311
0.0603844,0.0665928
0.062761,0.0675164
0.0651533,0.0684021
0.0675607,0.0692498
0.0699826,0.0700595
0.0724186,0.0708314
0.0748681,0.0715655
0.0773308,0.0722617
0.0798059,0.0729202
0.0822932,0.0735408
0.084792,0.0741236
0.0873019,0.0746687
0.0898223,0.075176
0.0923529,0.0756455
0.094893,0.0760773
0.0974422,0.0764714
0.1,0.0768277
0.102007,0.0771616
0.1040141,0.0774884
0.1060212,0.0778084
0.1080285,0.0781216
0.1100359,0.0784281
0.1120433,0.0787283
0.1140508,0.0790221
0.1160585,0.0793097
0.1180661,0.0795913
0.1200739,0.0798669
0.1220817,0.0801368
0.1240896,0.0804009
0.1260976,0.0806594
0.1281057,0.0809124
0.1301138,0.08116
0.1321219,0.0814023
0.1341302,0.0816394
0.1361385,0.0818713
0.1381468,0.0820983
0.1401552,0.0823203
0.1421637,0.0825374
0.1441722,0.0827497
0.1461807,0.0829573
0.1481893,0.0831603
0.150198,0.0833586
0.1522067,0.0835525
0.1542154,0.083742
0.1562242,0.0839271
0.158233,0.0841078
0.1602419,0.0842843
0.1622508,0.0844567
0.1642597,0.0846249
0.1662686,0.084789
0.1682776,0.0849491
0.1702867,0.0851052
0.1722957,0.0852575
0.1743048,0.0854058
0.1763139,0.0855503
0.1783231,0.0856911
0.1803322,0.0858282
0.1823414,0.0859615
0.1843506,0.0860913
0.1863599,0.0862174
0.1883691,0.08634
0.1903784,0.0864592
0.1923877,0.0865748
0.194397,0.086687
0.1964063,0.0867958
0.1984156,0.0869013
0.200425,0.0870035
0.2024344,0.0871024
0.2044437,0.087198
0.2064531,0.0872905
0.2084625,0.0873798
0.2104719,0.0874659
0.2124813,0.0875489
0.2144907,0.0876289
0.2165001,0.0877058
0.2185095,0.0877797
0.220519,0.0878506
0.2225284,0.0879186
0.2245378,0.0879837
0.2265472,0.0880458
0.2285567,0.0881051
0.2305661,0.0881615
0.2325755,0.0882152
0.2345849,0.088266
0.2365944,0.0883141
0.2386038,0.0883594
0.2406132,0.0884021
0.2426226,0.088442
0.244632,0.0884793
0.2466414,0.0885139
0.2486507,0.088546
0.2506601,0.0885754
0.2526695,0.0886023
0.2546788,0.0886266
0.2566881,0.0886484
0.2586975,0.0886677
0.2607068,0.0886845
0.2627161,0.0886989
0.2647253,0.0887108
0.2667346,0.0887203
0.2687438,0.0887273
0.2707531,0.088732
0.2727623,0.0887344
0.2747715,0.0887344
0.2767806,0.088732
0.2787898,0.0887274
0.2807989,0.0887205
0.2828081,0.0887113
0.2848171,0.0886998
0.2868262,0.0886862
0.2888353,0.0886703
0.2908443,0.0886522
0.2928533,0.0886319
0.2948623,0.0886094
0.2968712,0.0885848
0.2988801,0.0885581
0.300889,0.0885292
0.3028979,0.0884982
0.3049068,0.0884652
0.3069156,0.08843
0.3089244,0.0883929
0.3109331,0.0883536
0.3129419,0.0883124
0.3149506,0.0882691
0.3169592,0.0882238
0.3189679,0.0881766
0.3209765,0.0881273
0.322985,0.0880761
0.3249936,0.088023
0.3270021,0.0879679
0.3290106,0.087911
0.331019,0.0878521
0.3330274,0.0877913
0.3350358,0.0877286
0.3370441,0.0876641
0.3390524,0.0875977
0.3410607,0.0875295
0.3430689,0.0874594
0.3450771,0.0873876
0.3470852,0.0873139
0.3490933,0.0872384
0.3511014,0.0871612
0.3531094,0.0870821
0.3551174,0.0870014
0.3571254,0.0869188
0.3591333,0.0868346
0.3611412,0.0867486
0.363149,0.0866609
0.3651568,0.0865715
0.3671645,0.0864804
0.3691722,0.0863876
0.3711799,0.0862931
0.3731875,0.086197
0.375195,0.0860992
0.3772026,0.0859998
0.37921,0.0858988
0.3812175,0.0857961
0.3832249,0.0856919
0.3852322,0.085586
0.3872395,0.0854785
0.3892468,0.0853695
0.391254,0.0852588
0.3932611,0.0851467
0.3952682,0.0850329
0.3972753,0.0849176
0.3992823,0.0848008
0.4012892,0.0846825
0.4032962,0.0845626
0.405303,0.0844412
0.4073098,0.0843183
0.4093166,0.0841939
0.4113233,0.0840681
0.41333,0.0839407
0.4153366,0.0838119
0.4173431,0.0836817
0.4193496,0.08355
0.4213561,0.0834168
0.4233625,0.0832822
0.4253688,0.0831462
0.4273751,0.0830088
0.4293814,0.0828699
0.4313875,0.0827297
0.4333937,0.082588
0.4353997,0.082445
0.4374058,0.0823006
0.4394117,0.0821548
0.4414177,0.0820076
0.4434235,0.0818591
0.4454293,0.0817092
0.4474351,0.081558
0.4494407,0.0814055
0.4514464,0.0812516
0.4534519,0.0810964
0.4554575,0.0809399
0.4574629,0.080782
0.4594683,0.0806229
0.4614737,0.0804624
0.4634789,0.0803007
0.4654842,0.0801377
0.4674893,0.0799734
0.4694945,0.0798079
0.4714995,0.0796411
0.4735045,0.079473
0.4755094,0.0793036
0.4775143,0.0791331
0.4795191,0.0789612
0.4815238,0.0787882
0.4835285,0.0786139
0.4855331,0.0784384
0.4875377,0.0782617
0.4895422,0.0780838
0.4915467,0.0779046
0.493551,0.0777243
0.4955553,0.0775428
0.4975596,0.0773601
0.4995638,0.0771762
0.5015679,0.0769911
0.503572,0.0768049
0.505576,0.0766175
0.5075799,0.0764289
0.5095838,0.0762392
0.5115876,0.0760483
0.5135913,0.0758563
0.515595,0.0756631
0.5175986,0.0754688
0.5196022,0.0752734
0.5216056,0.0750768
